"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0xeac22dca", "0x646ee252", "BOXXLE",             "0x0000", "Boxxle (USA, Europe) (Rev A)"
"0x04fa7613", "0xd1621798", "BOXXLE2",            "0x0000", "Boxxle II (USA, Europe)"
"0xa2add336", "0x3e0c3886", "BOY AND BLOB G",     "0x0000", "David Crane's The Rescue of Princess Blobette Starring A Boy and His Blob (Europe)"
"0xb1536f98", "0x1a26b873", "BOY AND BLOB G",     "0x0000", "David Crane's The Rescue of Princess Blobette Starring A Boy and His Blob (USA)"
"0x4f9d0687", "0xd7ab827c", "BRAIN DRAIN",        "0x0000", "Brain Drain (Europe)"
"0x66ea5f80", "0x2b78df56", "BRAIN DRAIN",        "0x0000", "Brain Drain (Japan)"
"0x73c0235c", "0x6bd74801", "BRAIN DRAIN",        "0x0000", "Brain Drain (USA)"
"0x02629658", "0x137d1030", "BRAINBENDER",        "0x0000", "Brain Bender (Europe)"
"0xf5362014", "0x3fbb6cbc", "BRAINBENDER",        "0x0000", "Brain Bender (USA)"
"0x3273aee2", "0x10e8683e", "BREAKTHRU!",         "0x0000", "BreakThru! (USA)"
"0x4b33b7dd", "0xc9f693f9", "BT2RAGNAROKWOR",     "0x0000", "Battletoads in Ragnarok's World (Europe), Battletoads in Ragnarok's World (USA)"
"0x9b23a71e", "0x147f9afc", "BUBBLE BOBBLE",      "0x0000", "Bubble Bobble (USA, Europe)"
"0xb2329eee", "0x7001be82", "BUBBLE BOBBLE",      "0x0000", "Bubble Bobble (Japan)"
"0x2ad09cf7", "0x7e7b38b7", "BUBBLE GHOST",       "0x0000", "Bubble Ghost (USA, Europe)"
"0x2ad09fec", "0x7e837e16", "BUBBLE GHOST",       "0x0000", "Bubble Ghost (Japan)"
"0xbb016582", "0x00174aa3", "BUBBLEBOBBLE2",      "0x0000", "Bubble Bobble Part 2 (USA, Europe)"
"0xbcbbe004", "0xd26d17f9", "BUBBLEBOBBLEJR",     "0x0000", "Bubble Bobble Junior (Japan)"
"0xb5c5a731", "0xa406ce9c", "BUBSY II",           "0x0000", "Bubsy II (USA)"
"0xf41e46b7", "0x3d92066d", "BUBSY II",           "0x0000", "Bubsy II (Europe)"
"0x964829ec", "0x8134fdd3", "BUGS BUNNY",         "0x0000", "Bugs Bunny Crazy Castle, The (USA, Europe)"
"0x79ad4a76", "0xff53deff", "BUGS COLLECTIO",     "0x0000", "Bugs Bunny Collection (Japan) (Rev A), Bugs Bunny Collection (Japan)"
"0x522fa5e1", "0x04ac02ec", "BUGSCRAZYCASTL",     "0x0000", "Bugs Bunny Crazy Castle 2, The (USA)"
"0x5eec3825", "0x636d6580", "BURGER TIME",        "0x0000", "BurgerTime Deluxe (World)"
"0x7f63f6bf", "0x733c0aa0", "BURNING PAPER",      "0x0000", "Burning Paper (Japan)"
"0x35860a1b", "0xb230ef2d", "BUST A MOVE 2",      "0x0000", "Bust-A-Move 2 - Arcade Edition (USA, Europe)"
"0x713fbb86", "0xef5bc196", "BUST A MOVE 2 ",     "0x0000", "Puzzle Bobble GB (Japan)"
"0x4620706a", "0x1b79df6c", "BUST A MOVE 3",      "0x0000", "Bust-A-Move 3 DX (Europe)"
"0x3ee6b814", "0x54235de1", "BUSTER BROTHER",     "0x0000", "Buster Bros. (USA)"
"0x992577f3", "0x779f9d33", "BZONE SBREAKOU",     "0x0000", "Arcade Classics - Battlezone & Super Breakout (USA, Europe)"
"0xe18cae3c", "0x08c1ddf8", "B_TOADS/D_DRAG",     "0x0000", "Battletoads-Double Dragon (Europe)"
